date,category,region,sales,units,discount,rating
2024-05-10,Furniture,West,825.9263443059958,17,0.0004117919382533586,1.984278635191993
2024-11-02,Electronics,North,734.4220349312166,10,0.06357531331070261,2.9067819001646367
2024-05-14,Food,North,583.3460359450302,49,0.18741576670743376,2.577461295273401
2024-01-21,Clothing,East,812.6715845812346,47,0.37772145398313195,3.1976569537218134
2024-11-24,Electronics,North,708.6355244277912,12,0.040877447877487594,3.987502864543291
2024-06-15,Clothing,West,,16,0.3416839097846264,
2024-09-30,Clothing,South,660.1184258352127,24,0.21080963848474485,3.0849365299413374
2024-03-29,Food,North,,19,0.33036830631995867,4.289573675268232
2024-11-11,Clothing,East,456.5933079300963,8,0.11934977239599705,2.7234483661521334
2024-01-14,Clothing,West,287.7196220723728,31,0.3359788658689888,4.586857159360489
2024-08-29,Food,North,589.3101703565635,21,,1.2851210802206556
2024-09-21,Clothing,West,188.13084155382552,17,0.09202147321257358,4.81864012013323
2024-12-11,Clothing,East,496.778755643801,23,0.052534050563751225,3.6187723257253928
2024-02-22,Clothing,East,407.43643875696876,37,0.34722172901291715,2.520298035748821
2024-12-05,Electronics,West,,16,0.3852946613760528,1.7886165062915094
2024-04-01,Electronics,North,678.3201511478309,6,0.012520925499006498,2.9167329177743997
2024-09-20,Electronics,South,493.80373541288407,8,0.29250802678947424,1.778233292741204
2024-02-04,Food,East,,25,0.36380980437912736,1.6653264309725686
2024-07-24,Furniture,North,636.1807920863641,18,0.3429440368369995,3.469407029651897
2024-03-21,Clothing,North,498.68141655449665,25,0.38580818890808344,3.0923388983271387
2024-02-19,Clothing,South,567.7116797971247,12,0.30403763137523887,3.6803841384437668
2024-12-25,Food,East,622.3777430733635,15,0.1769195049523641,4.718423509687957
2024-01-02,Clothing,East,585.0133890378239,26,0.12478079619805219,3.1290408533561607
2024-02-23,Electronics,North,542.8970249282426,41,0.12829709617525098,3.323728213051191
2024-04-15,Furniture,North,767.4669253062585,45,0.2897690690456468,1.3585053566197685
2024-09-16,Books,South,686.2955897014784,26,0.2983348048123857,3.870543143634518
2024-11-05,Clothing,South,487.1355246150749,47,,
2024-07-09,Electronics,East,363.54605747773206,32,0.34724912539621244,
2024-08-05,Books,West,595.7935474756466,10,0.28596961608089905,4.292696062382641
2024-02-13,Furniture,East,532.3790972283508,16,,3.0899241620644733
2024-06-10,Books,North,,7,0.1886129840410051,1.4928906166886642
2024-07-20,Electronics,East,648.1239508551083,17,0.21729312231598327,4.437663173122356
2024-09-26,Books,West,614.6306582002862,23,0.06369829531170579,4.199124381696087
2024-12-16,Food,South,,26,0.08148049971050969,1.738340518148132
2024-10-30,Books,West,368.6451887499136,21,0.03646579616247667,2.1811131568812403
2024-09-27,Clothing,West,470.3055546948027,22,0.06146321526444507,4.173629032591349
2024-08-02,Clothing,West,571.5242141486166,7,0.18147745384211308,1.7409137861896387
2024-09-08,Food,South,240.56298604862815,14,0.21214175749130246,4.671009956685509
2024-07-08,Electronics,West,686.2570939478517,15,0.00714475699132775,2.6981097007854475
2024-10-22,Clothing,West,810.056600262707,7,0.318719131145611,1.3481558503506346
2024-07-31,Furniture,West,208.25910644438756,9,0.11766718933739116,4.262994574017124
2024-07-26,Clothing,North,289.9676673479696,48,0.36473441398396445,2.4940387321535504
2024-08-24,Clothing,West,,8,0.3870045054455111,3.105996776615124
2024-12-03,Electronics,South,412.6128626547599,23,0.07418354987066174,1.4492173776448767
2024-02-22,Books,West,539.135965074751,29,0.18483891630626426,1.0103360593799295
2024-10-06,Clothing,West,489.24889451638444,18,0.000492734066570355,3.5519408231731906
2024-08-04,Food,South,346.42722207664184,31,0.23933090604897078,3.0607006813349265
2024-09-08,Books,West,693.2609510267735,30,0.2429225793050685,
2024-07-06,Furniture,South,569.6774907864274,39,0.09901598224135007,4.174975401522065
2024-02-10,Electronics,West,416.0387037907592,35,0.22336506903327918,3.5864236536914404
2024-06-05,Furniture,South,725.7537671991231,18,0.09021605697749419,1.6990937713095087
2024-01-15,Books,West,423.7391067659371,42,0.06433018763127603,2.4430900764423993
2024-10-27,Books,West,313.72392249417,39,0.2606077867209059,4.623564419151041
2024-03-05,Books,North,527.5267734631603,17,0.13037018558082997,4.079778801006716
2024-12-10,Furniture,North,552.9736434833999,14,0.236105575554249,3.226548231746869
2024-11-22,Books,West,,31,0.17329869958866226,2.022579991237089
2024-01-09,Furniture,West,604.452668997873,24,0.3937405629611616,2.20824200733918
2024-12-09,Books,East,577.4187092866537,35,0.05983225706702631,3.927832270342538
2024-05-08,Food,South,571.3240462173761,44,0.18583943865432406,4.404697043411083
2024-05-15,Books,East,413.9369299537753,45,0.2721826505437301,3.6856986781224577
2024-03-03,Furniture,North,397.88835881441696,34,0.1582180335519875,
2024-05-18,Clothing,North,611.3547374388677,3,0.389879940748276,4.066624540801624
2024-03-21,Books,North,536.5184766049831,37,0.28875505117077405,1.598815871827831
2024-06-11,Clothing,North,,43,0.2627935430257972,2.695779251653208
2024-10-15,Food,West,243.90842665586024,40,0.30282370704448935,
2024-09-17,Electronics,North,424.88204263736094,26,0.38105945521548684,1.9409423392079392
2024-08-18,Food,West,786.0528352865833,23,0.3631274611938561,4.477038498604211
2024-02-10,Books,West,582.879972852116,44,0.2897141232505648,2.8915678625327286
2024-01-28,Clothing,North,544.3325676468729,39,0.29966465564051326,3.1414324073706434
2024-05-14,Clothing,North,606.1886550454511,15,,
2024-07-19,Furniture,South,831.2675788799272,49,0.04111696179706628,
2024-11-23,Clothing,East,799.7074313430542,4,0.22836180073766574,1.9209846737114797
2024-09-24,Furniture,North,263.07188640311097,29,,1.8247446580737057
2024-02-02,Electronics,South,318.42482613959476,22,0.19294255262063664,3.5518431732638804
2024-02-17,Books,South,,25,0.08413983196754744,2.0275353905828593
2024-03-02,Furniture,East,387.9338166589606,13,,
2024-08-03,Electronics,West,508.2378947978386,18,0.31032189431718243,1.2338184564342156
2024-10-19,Clothing,North,536.3022716101694,33,0.37649500169295463,1.5670975741084074
2024-04-08,Clothing,East,270.4281885219121,16,0.0289665088585366,2.0981610160005015
2024-06-20,Electronics,North,219.8972260446336,45,,3.3881876675827667
2024-12-25,Clothing,South,385.2812919566824,42,0.35301339432784,3.703364980349504
2024-08-01,Electronics,South,637.4256898406932,44,0.033003413776168514,2.7708678671181084
2024-02-04,Furniture,West,663.5544367540468,2,0.32980561875873354,
2024-08-14,Furniture,South,755.8737289006528,35,0.14312054037130856,3.8980674055944724
2024-04-10,Electronics,South,495.1504623612329,42,0.12883788088773415,1.0632843670623298
2024-05-10,Furniture,East,624.2230235585158,34,0.39098655452591435,2.364360097896882
2024-09-13,Furniture,North,651.484244157449,30,0.08034363594491767,
2024-01-05,Furniture,North,425.4711450991068,13,0.2772775763290724,3.412877640853489
2024-08-05,Food,East,558.1767322295699,13,0.3285762912039466,2.3489085310216815
2024-09-11,Books,West,598.805768856463,18,0.01647339811170867,4.6220991693186955
2024-12-24,Clothing,North,363.6263574372314,32,0.2681541833417649,4.090490909797531
2024-10-09,Food,South,746.3144256661164,32,0.3806199897421308,2.0595817889469337
2024-07-25,Furniture,North,494.178157591996,35,0.04968798669122374,3.5811593501028676
2024-01-15,Electronics,South,513.0552842220009,39,0.35848852107401535,3.3830029127558268
2024-12-11,Furniture,West,357.8987930086813,46,0.23791065495077446,2.6047516561559307
2024-02-11,Books,East,383.08607061837,29,0.24664183274498963,2.4678243168192027
2024-06-27,Furniture,North,170.52280987519862,49,0.24517766994624238,
2024-03-03,Electronics,East,508.2733814627918,29,0.11953435453492554,3.4686231335825872
2024-12-17,Books,North,,44,0.3740807261197839,
2024-08-18,Furniture,South,347.20708278432693,16,,4.327452453005688
2024-08-28,Books,East,946.4295392232459,44,,3.6784104645358475
2024-02-21,Clothing,North,712.1376893918621,47,0.3133690903766459,1.2797264228377365
2024-04-05,Clothing,South,428.9616828534337,10,0.24490319435246322,3.5606728953126643
2024-08-09,Furniture,East,504.08970572283175,30,0.19375937902961626,2.084589746000739
2024-08-18,Books,East,479.7349538127594,25,0.2643280473197003,3.3712479666136907
2024-08-24,Electronics,North,755.9245960096567,39,0.2212005810367834,3.7205277244138055
2024-05-22,Furniture,North,577.5523595176941,20,,1.9233167566160483
2024-06-19,Clothing,North,677.2961072932721,5,0.3135330213675448,2.8274345795214746
2024-01-29,Clothing,South,553.7257768042023,1,0.19236153257959396,1.7612994512762712
2024-02-05,Furniture,North,483.20412191080743,30,0.016301642436989106,1.2093555031460332
2024-01-13,Books,East,548.9635047606072,49,0.0655997923957989,2.5139056939434763
2024-06-08,Clothing,East,438.95836491918783,3,0.17544288659581536,2.451777087383968
2024-11-22,Books,North,282.16939347936534,45,,4.981921962817028
2024-07-05,Clothing,North,,14,0.2373114593240715,2.7854094047905686
2024-08-30,Clothing,West,274.825332748537,30,0.26011767434938154,2.3342781978888016
2024-03-26,Food,East,,4,0.19171157143051493,
2024-10-10,Clothing,South,434.0203568576874,18,0.24629680877689714,1.3550695764310738
2024-03-06,Electronics,West,596.5030896581105,37,0.1316069751258649,
2024-06-18,Furniture,North,734.7056877400294,25,0.18807303707866604,3.5398401823641326
2024-02-14,Furniture,North,680.7455970951122,48,0.29771162623798225,4.0193512797633915
2024-03-02,Books,East,600.863752834264,1,0.34873311158924847,1.6819117526956702
2024-05-13,Clothing,North,405.5192531568827,46,0.17346213358255558,
2024-10-10,Electronics,South,472.4796269605305,15,0.017464663082944476,2.690756453584758
2024-01-28,Books,East,450.60894394162733,9,0.06466901765872106,4.287225775604347
2024-04-17,Food,North,429.45778299058344,15,0.00834445571661524,1.0049467190376378
2024-02-13,Books,East,439.63233370597436,49,,
2024-12-05,Books,North,,24,,4.924945497377216
2024-10-12,Clothing,North,428.9860710949256,4,,2.8995461740248745
2024-11-26,Food,North,642.7824527042831,12,0.19731073871351984,2.530105120976033
2024-05-07,Books,South,341.8044666700862,37,0.03261059582097068,1.4793160080705854
2024-12-13,Electronics,South,,37,,4.896658514512062
2024-08-18,Electronics,East,262.4889918440732,43,,1.0801054237032979
2024-07-08,Furniture,North,712.3224203766274,6,0.16735991546706108,3.9487209000289725
2024-08-12,Food,North,380.524556201362,39,0.08143131213689708,4.074399219154033
2024-10-09,Food,South,599.1162847583211,46,0.33618096251077345,1.9746268642554665
2024-04-30,Furniture,North,571.297829031846,24,0.06967733463130146,3.686233774452149
2024-04-25,Books,South,697.8257931636157,11,0.3843122205947908,1.3717165775175597
2024-08-20,Food,North,468.4974952437359,13,0.16636294645877633,2.0281890657283195
2024-09-15,Electronics,East,357.86903190711314,34,0.33849811680761976,4.15160795316906
2024-12-24,Electronics,North,266.63750361925577,25,0.25150592728237803,4.458744768134161
2024-07-16,Clothing,North,82.30465328268497,7,0.2941401194663011,3.4339456506391652
2024-05-16,Food,West,524.2029838818354,4,0.3070895552267121,3.0273537272819304
2024-11-13,Books,South,616.3208858733371,8,,1.6372160824759212
2024-06-13,Furniture,North,570.7532157796761,20,0.21732020934531537,1.2524361323166007
2024-08-12,Furniture,North,270.5353545240788,29,0.20559834712349,1.4705961138942345
2024-11-02,Books,West,,45,0.2352233512360317,
2024-08-21,Clothing,West,395.26759575269716,46,0.011757778302602918,2.3666980075876833
2024-06-20,Furniture,South,363.96447587873683,10,0.15820606793960612,
2024-05-31,Food,West,391.90516470452246,43,,2.385287074356014
2024-11-10,Clothing,East,511.7613383759116,34,0.23908942610234574,
2024-06-08,Food,West,277.2947642724392,26,0.31718243784225264,3.0388969870067926
2024-04-05,Electronics,East,494.4446129421323,41,0.26200373553284345,
2024-08-20,Clothing,South,564.4172368075504,49,0.396853326536269,2.118814153885917
2024-06-28,Furniture,South,666.0985844365423,3,0.11354181144345801,4.769548076408933
2024-04-22,Clothing,South,526.3934985831867,6,0.1436604118664926,4.493346646895391
2024-11-13,Clothing,South,299.0557252709313,5,0.15353886074711853,1.6470568454084384
2024-02-21,Clothing,South,522.3335341478336,5,0.18632512280809943,4.145103827028378
2024-09-24,Clothing,East,340.961258908082,47,0.3343992255124838,3.2983495292710665
2024-10-21,Food,East,332.3082265449574,23,0.09431683758368395,3.2663014486856743
2024-04-22,Electronics,South,295.59445946900314,49,0.3104000828141718,2.5641710522326977
2024-04-10,Books,West,213.3119480158964,9,0.16212407323429737,3.004611996728039
2024-04-22,Clothing,North,414.9255248096907,35,0.24074215346480343,2.588715109716844
2024-03-21,Furniture,South,669.3333114570362,20,0.25301621329052243,3.1589304750397713
2024-07-05,Clothing,West,838.4726023141313,49,0.14913945487557378,3.5118002110905433
2024-04-22,Furniture,North,413.96222624898587,42,0.20504608208232208,3.6972152256361936
2024-01-02,Food,South,662.9158290154484,35,,3.1299247702377047
2024-05-09,Furniture,South,440.81265226451075,18,0.02765311447464778,3.885688269314927
2024-08-07,Books,East,252.38964208271582,17,0.17486615552673063,1.5651121971020232
2024-02-23,Electronics,North,605.1413392169115,24,0.03895735702142087,1.8479299636089541
2024-12-08,Furniture,North,,3,0.1620083196321286,4.27494001629708
2024-08-11,Furniture,West,772.7029411941674,32,,2.2901119113856607
2024-08-12,Electronics,East,269.7982277025866,35,0.23176595973740033,1.091575299904481
2024-05-05,Books,East,919.4049062502916,38,0.26504851160332815,1.6151645986721244
2024-05-09,Clothing,East,738.7575984782234,13,0.03810460318185052,1.894457737985245
2024-02-22,Furniture,East,497.3114639657219,47,0.2608492982121752,
2024-06-20,Electronics,North,455.2043312302223,25,0.12485922267857884,
2024-08-05,Food,North,392.6285196697074,9,0.15961837845484445,4.730922961905019
2024-06-08,Electronics,South,516.4598958781689,4,0.3431945015690823,3.3006534019864997
2024-07-16,Food,South,472.4095766886532,14,0.0036121616518201005,2.917417760551407
2024-09-03,Books,East,,37,0.2353650533362422,2.254910764776384
2024-11-19,Clothing,East,455.84500084725414,34,0.23948559204004305,3.4254837777335023
2024-07-21,Electronics,East,712.2445537244994,11,0.1586639105374248,1.5567920984701193
2024-07-02,Furniture,South,518.756904674967,41,0.09481114284333447,4.593046509170824
2024-05-02,Books,West,,3,0.09386961530462044,4.317329620565134
2024-09-11,Electronics,West,,28,0.3534838678643011,2.270125791506948
2024-10-20,Furniture,South,256.6214554703372,29,0.17680974951314302,4.811190110405177
2024-10-06,Electronics,South,551.1482528415701,9,0.13235574519566878,4.3008030696622725
2024-11-20,Food,South,2500.0,3,0.17951102953256123,3.665227543340159
2024-04-07,Electronics,South,288.3724204391326,25,0.2677561605837446,1.4870476445010992
2024-07-16,Electronics,South,243.72450806472386,34,0.05830262729790068,
2024-08-27,Electronics,South,,12,0.1797735340854951,3.0244302193870034
2024-05-23,Books,East,644.418603552604,42,0.2351537484441548,1.9302054334615204
2024-04-06,Electronics,East,,9,0.37943334194057354,1.3198615774372078
2024-07-19,Furniture,East,,15,0.10101111283016771,4.106894521886771
2024-05-03,Food,East,566.1452272791903,40,0.14370029916649824,1.48814020849758
2024-07-05,Food,South,687.4707979116823,25,0.15174343596896953,3.377163002247099
2024-11-21,Electronics,West,563.0486880776781,5,0.24221526305795316,4.745796695534642
2024-12-14,Books,North,458.6285651597012,11,0.14269282121600066,
2024-09-15,Books,South,341.37031228499865,34,0.21340477011987824,2.1110104949970445
2024-05-27,Furniture,North,409.4845617645856,24,0.3127161319380118,4.405794550205061
2024-09-08,Electronics,West,461.43165931291725,15,0.28215423764488146,1.0013300244819576
2024-12-11,Food,East,704.4729653160058,38,0.17854745860503424,1.0707512384530289
2024-05-26,Books,West,615.4879337794496,8,0.3456864710696676,3.41021265537146
2024-05-27,Electronics,South,549.5478602363924,5,0.22325609983754516,2.459192876578118
2024-12-17,Books,East,3000.0,48,0.215962335800885,2.5458433646365886
2024-07-17,Books,South,579.1075573538724,26,0.01367510637566327,
2024-11-03,Food,East,539.2906416660239,18,0.3946771921428647,1.7671298223674423
2024-05-07,Clothing,North,275.2010897739568,6,,
2024-02-08,Furniture,North,670.8736359292516,37,0.09245236497105865,2.9384063480754588
2024-12-03,Furniture,North,431.2232228710286,48,0.020678734896610786,4.017014177375453
2024-12-25,Food,West,,13,0.2560011867347655,3.4779910056303507
2024-05-08,Books,South,677.7815437266335,28,0.089880470789072,2.1894201929473556
2024-09-23,Electronics,West,399.494120966698,5,0.0720041749890894,2.721348710035685
2024-05-30,Books,North,642.4574120893906,13,0.035422233689296555,1.6826590341999936
2024-10-24,Food,South,445.85187811161524,17,0.04132358284960627,1.2985192573483268
2024-04-08,Furniture,North,446.74515085299134,40,0.2338682801770355,4.130784162976597
2024-09-19,Books,West,538.6209851873987,45,0.2752831463466382,2.0615496367527784
2024-09-08,Furniture,West,542.6708883754311,32,0.15895159538576042,1.7110655514049928
2024-05-23,Electronics,West,505.78272730263376,29,0.1919588326368293,3.7664722222772773
2024-12-11,Furniture,North,2800.0,3,0.27438709439319364,3.472206697148744
2024-04-21,Furniture,South,481.78300407734906,40,0.006951916074191856,3.5327585040538563
2024-02-29,Clothing,South,841.771809228261,34,,1.9155784193864545
2024-01-02,Clothing,North,82.3993656796967,40,0.3892390992281386,
2024-10-30,Clothing,South,630.4610660342619,27,0.23204489187818722,1.8832105191425565
2024-09-10,Furniture,North,658.5687400034462,13,0.1016898319589973,1.695010382649178
2024-05-19,Food,South,296.2478421070772,45,0.20869201865448528,
2024-02-06,Furniture,East,429.5841629885681,33,0.13706139524836614,4.392063540997606
2024-06-08,Food,East,-200.0,6,0.21289799553051966,3.897269878706645
2024-01-09,Food,West,778.0948065967818,24,0.05029660472265954,4.168374535042172
2024-08-20,Clothing,East,665.4537900166674,19,0.053085861527710956,2.6191937163407992
2024-04-08,Books,East,,16,0.05741694481575715,3.6163031814879925
2024-05-26,Electronics,East,518.0970838992192,40,0.3759279167707367,
2024-10-30,Clothing,North,696.8137924624465,28,0.29315956733653675,3.10201848787456
2024-07-26,Clothing,East,,33,0.06495275786492836,2.9265393861394493
2024-05-10,Books,East,703.8736440815837,48,0.07533963350624058,1.7075485805754176
2024-05-31,Electronics,West,477.69553638316694,41,0.2923317899483506,2.5483150413425233
2024-02-23,Furniture,East,398.1137124929841,13,0.062465537916869575,4.855289101929404
2024-04-29,Furniture,East,771.6425399497915,43,0.09382451733393148,1.9943210308597683
2024-06-09,Clothing,South,496.87268590022956,45,0.38533873312815964,1.5352149451179549
2024-04-25,Electronics,West,365.18001376363037,25,0.10212260989137274,2.674322486495741
2024-03-15,Clothing,West,363.55491537650414,42,0.2646529401484587,4.161350943440592
2024-04-22,Food,West,364.01319904714387,36,0.39145251496021216,3.328592919119889
2024-04-13,Clothing,West,626.6663526544053,27,0.14971870685591707,3.723899308952978
2024-12-05,Clothing,West,485.17056844321763,38,0.007006396344824895,1.7587793926987088
2024-09-10,Furniture,West,844.6938463995624,7,0.09765891616894971,3.475792772030886
2024-08-14,Furniture,North,677.9267273486181,5,0.3323508765366822,2.294001579645895
2024-04-21,Furniture,East,538.5707195140957,43,,4.3372134638190705
2024-04-08,Food,West,710.5846311797425,45,0.3074077458095165,3.5171952240429447
2024-06-01,Furniture,East,425.67389952957745,31,0.04524392763062921,1.7954251111011836
2024-12-14,Electronics,East,,23,0.3182041486785613,1.2584667193763446
2024-12-03,Books,North,351.562541363789,42,0.36747111879740174,1.170532837148131
2024-07-12,Electronics,West,522.0811744054404,10,0.24024381701849445,2.485634270600563
2024-11-05,Electronics,South,466.618779174329,32,0.376350142535226,2.063404546617254
2024-06-11,Furniture,North,623.6623082386191,43,0.330735553484751,3.584360493850032
2024-07-26,Books,South,481.30793279847956,30,0.2667886067963629,2.997335339914473
2024-06-17,Books,East,612.2052088942587,39,0.23087409468469927,2.064077112021523
2024-06-09,Books,East,725.1457445846435,31,0.1394294668967882,1.5969511118007045
2024-03-08,Food,North,480.84562240838426,18,0.06371497809712205,
2024-10-15,Furniture,North,583.2717933066682,36,,4.458641568561671
2024-05-31,Food,West,391.90516470452246,43,,2.385287074356014
2024-02-04,Furniture,West,663.5544367540468,2,0.32980561875873354,
2024-08-12,Furniture,North,270.5353545240788,29,0.20559834712349,1.4705961138942345
2024-05-05,Books,East,919.4049062502916,38,0.26504851160332815,1.6151645986721244
2024-09-17,Electronics,North,424.88204263736094,26,0.38105945521548684,1.9409423392079392
2024-09-13,Furniture,North,651.484244157449,30,0.08034363594491767,
2024-04-30,Furniture,North,571.297829031846,24,0.06967733463130146,3.686233774452149
2024-09-26,Books,West,614.6306582002862,23,0.06369829531170579,4.199124381696087
2024-05-10,Books,East,703.8736440815837,48,0.07533963350624058,1.7075485805754176
2024-12-11,Food,East,704.4729653160058,38,0.17854745860503424,1.0707512384530289
2024-05-19,Food,South,296.2478421070772,45,0.20869201865448528,
2024-05-22,Furniture,North,577.5523595176941,20,,1.9233167566160483
2024-10-15,Furniture,North,583.2717933066682,36,,4.458641568561671
2024-02-04,Food,East,,25,0.36380980437912736,1.6653264309725686
2024-08-01,Electronics,South,637.4256898406932,44,0.033003413776168514,2.7708678671181084
